a_thermal;huellzahl;u_as_built;H_as_built;H_reference;jaz_as_built;jaz_derived;hdd_corrected;design_kw;E_as_built;E_reference;deficiency;term_envelope;term_emitter;term_dhw;term_vintage;vintage_factor;Household_ID;era
343.96866768290727;3.0172690147623444;0.652;306.3392380975463;166.89434021889565;3.7;False;2.2508992805755397;8.577498666731294;2993.4582013900404;2250.3345684280775;743.1236329619628;743.1236329619628;0.0;0.0;0.0;1.0;1000;pre1975
231.23569377335923;2.6578815376248186;0.32565;134.80887305463034;116.52969146184631;5.7;False;3.105849582172702;3.7746484455296496;5406.719768202999;1999.628662029864;3407.091106173135;87.25019708222582;0.0;3319.840909090909;0.0;1.0;1001;1991_2000
578.9539812513609;1.564740489868543;0.32565;401.1657621196417;355.3994499017217;5.7;False;3.6935933147632314;11.232641339349968;2854.5689400819815;2594.7778543133127;259.79108576866884;259.79108576866867;0.0;0.0;0.0;1.0;1002;1991_2000
461.4538706646999;1.6539565256799278;0.55535;419.09159414011106;276.617711572385;3.3;False;2.801916932907348;11.73456463592311;5975.076104960099;2855.7029923475093;3119.3731126125895;1059.6945031505534;222.4250380334647;1837.2535714285714;0.0;1.0;1003;1976_1990
299.56148721743875;2.1707354146191213;0.269;168.24978878323492;161.53961146956428;5.7;False;2.7920148560817086;4.710994085930578;1587.9861159459665;1559.1935101247054;28.792605821261077;28.79260582126093;0.0;0.0;0.0;1.0;1004;post2010
451.95428465617175;1.7585769830979445;0.32565;299.8517412638995;264.12475506182915;5.0;False;5.625523012552302;8.395848755389187;4398.722760610162;3726.910392136657;671.8123684735056;352.12218630164705;319.6901821718595;0.0;0.0;1.0;1005;2001_2010
212.93456111547147;3.609060357889347;0.32565;115.30939593880042;98.47691888262241;2.9;False;2.990714948932219;3.228663086286412;1722.1718717397573;1377.7517469091258;344.4201248306315;152.06496312170987;192.35516170892163;0.0;0.0;1.0;1006;2001_2010
464.60299277819377;1.8077937462186529;0.32565;305.2356638760382;268.50879729692195;4.4;False;4.524058577405858;8.546598588529069;3037.936191819955;2155.56003942319;882.3761523967651;330.7984961209055;551.5776562758598;0.0;0.0;1.0;1007;2001_2010
548.1748193293087;1.8211788017585004;0.3636;380.01204624106754;315.8755923795384;5.0;False;4.767985611510791;10.64033729474989;4040.4801836696315;3180.6684103979874;859.8117732716441;535.7645594522895;324.04721381935485;0.0;0.0;1.0;1008;1991_2000
233.3129804121861;2.651283868320297;0.269;122.89408977209666;117.66787901086371;2.9;False;3.595171773444754;3.4410345136187064;1674.8494452727323;1341.7990181020332;333.0504271706991;56.75611675831565;276.29431041238377;0.0;0.0;1.0;1009;post2010
